source_file,item,category,decision,note
01-booking.md,"Injury date validations (date <= today, date >= DOB) not enforced",Missing,include,
01-booking.md,"Cumulative-trauma injury date-range validation missing",Missing,include,
01-booking.md,"Patient-existence flag (IsPatientAlreadyExist) never populated by the booking client",Partial,include,"Enabler/prerequisite for G-02-08 (approval patient-match override); no standalone effect"
01-booking.md,"Role-to-AppointmentType authorization hardcoded to AME-only (OLD was configurable matrix)",Partial,include,"Build as admin-configurable role x type table + admin UI so future rules need no code change (not just the AME rule). Cross-ref G-06-01."
01-booking.md,"Per-appointment stakeholder email uniqueness not enforced",Missing,include,"Patient/AA/DA cross-email uniqueness; accessor dedup already present. Wrong-recipient PHI risk."
01-booking.md,"Accessor role-type conflict check (registered user with different role) not enforced",Missing,include,"On accessor add, reject if email maps to existing user with mismatched role. Confirm fit vs NEW invite/IdentityUser model (G-06, G-10-08)."
01-booking.md,"Reval pre-load does not copy prior appointment intake data",Partial,include,"Backend reval/resubmit endpoints exist; add UI entry path + load-source-and-prefill (children PKs reset)."
01-booking.md,"Self-represented confirmation modal on AA toggle-off (NEW-only)",Intent deviation,include,"Keep the NEW-added guard (already shipped); exceeds OLD, no parity loss."
02-approval-reschedule-cancel.md,"Global change-log list page with field-level filters is missing",Missing,include,"NEEDS DEEPER PLANNING. Cross-appointment searchable audit list over ABP audit data or dedicated projection; filters: field/old/new/table/status/date/conf#."
02-approval-reschedule-cancel.md,"Change log does not capture child-entity (injury/body-part/claim) field changes",Partial,include,"NEEDS DEEPER PLANNING for PII/PHI/HIPAA logging leaks (injury/claim data in audit values). Extend audit to child entities w/ redaction. Pairs with G-02-01."
02-approval-reschedule-cancel.md,"Intake-form-changed notification email (per-field diff table) absent",Missing,include,"PHI-sensitive (field values in body); depends on change-diff (G-02-01/02) + IsMailSent dedup (G-10-05). Plan redaction."
02-approval-reschedule-cancel.md,"Reschedule-reject does not release the Reserved slot",Intent deviation,include,"Likely slot-rework regression (bug). Release Reserved slot in reschedule-reject path; else orphaned holds shrink capacity."
02-approval-reschedule-cancel.md,"Internal-user direct cancellation from appointment view page missing",Missing,include,"Add staff one-step Cancel on view page (reason + NoBill/Late) writing cancelled status directly; today only external-request+approve exists."
02-approval-reschedule-cancel.md,"Cancel-time window not re-applied on approval; outcome manual-only",Partial,include,"Re-evaluate cancel-time window at approval and/or default NoBill vs Late from it; verify timezone anchor for multi-tenant."
02-approval-reschedule-cancel.md,"Approval injury-detail gate (NEW stricter, no OLD equivalent)",Intent deviation,include,"Keep NEW hardening (block approve when zero injuries); already shipped (BUG-043)."
02-approval-reschedule-cancel.md,"Patient-match override recorded but not acted on (no patient-row split)",Partial,include,"Wire Angular override control + implement patient-row split/relink on approval. Consumes G-01-03 (flag populate). Medium effort."
03-documents-packets.md,"Document-type master library (AppointmentDocumentType) not ported",Missing,include,"Add doc-type entity + CRUD + picker on upload (+ Other free-text). Same decision as G-07-07 / G-10-09."
03-documents-packets.md,"Joint Agreement Letter download not ported",Missing,exclude,"FLAG FOR CONFIRMATION: may have been dead/unreachable in OLD UI. Confirm attorneys actually used it before final exclude; if used, revisit (generate as PDF + download)."
03-documents-packets.md,"Ad-hoc document has no type metadata (unified path is fine)",Partial,include,"Residual = type metadata only; folds into G-03-01 doc-type master. Unification via IsAdHoc is accepted/equivalent."
03-documents-packets.md,"JDF rejection does not cascade into a reschedule request",Partial,exclude,"Verified in OLD AppointmentJointDeclarationDomain.cs: rejection only sets RejectedById + status + sends email; NO reschedule cascade exists. NEW matches OLD."
03-documents-packets.md,"Per-document link vs OLD packet-wide link + remaining-count nudges",Intent deviation,include,"Adopt OLD packet-wide upload link + remaining-count messaging (vs NEW per-document links). Note OLD packet-wide queueing was commented out (G-03-B1) = building OLD intended design."
04-emails-sms.md,"SMS channel entirely absent in NEW",Intent deviation,defer,"Planned within ~3 months (by 2026-08-29); NOT this/next week. Integrate SMS provider + BodySms + phone normalize + enable flag. Cross-ref G-05-INTENT-01."
04-emails-sms.md,"Submit Query / Contact Us email not wired",Missing,include,"Email leg of Submit-Query feature; decide together with G-09-02/03 + G-10-02 (form+entity+routing)."
04-emails-sms.md,"Appointment change-log email not wired",Missing,include,"Email leg of G-02-03 (already included). PHI-sensitive diff body; build with change-diff + IsMailSent dedup."
04-emails-sms.md,"Password-changed security-receipt email not wired",Missing,include,"Low effort: fire existing PasswordChange template from password-change/reset success path. Account-security signal."
04-emails-sms.md,"Booking Pending email replaced by 3-way Requested fan-out",Partial,exclude,"Keep NEW 3-way per-recipient fan-out (intent preserved, better targeted). Do not revert to OLD single Pending template."
04-emails-sms.md,"Approved-email CC (clinicStaffEmail) not reproduced",Partial,include,"Low effort: append per-tenant CcEmailIds to approval email recipients (already applied on booking, not approval)."
04-emails-sms.md,"9 DB TemplateCode events seeded but never sent",Partial,include,"Tie to SMS work (G-04-01, deferred ~3 months). These are SMS-side rows; wire when SMS lands. Were dead/commented in OLD too."
04-emails-sms.md,"BCC support dropped",Intent deviation,exclude,"OLD had a BCC param but no live call used it; no real behavior lost. Add later only if a concrete need appears."
04-emails-sms.md,"Subject-line identity suffix (parity preserved; brand prefix note)",Intent deviation,exclude,"Keep NEW brand prefix Appointment Portal; suffix already at parity. Cosmetic only."
04-emails-sms.md,"Failed sends swallowed (no retry)",Intent deviation,include,"Add retry/dead-letter on send failure (exceeds OLD). Sends already route through Hangfire; add retry there."
05-jobs-scheduler.md,"ResponsibleUser pending-document reminder not implemented",Missing,include,"Fresh staff-side nudge to ResponsibleUserId re pending docs. OLD send was commented out (never fired). Medium effort recurring job."
05-jobs-scheduler.md,"JDF upload reminder folded into package-doc reminder",Partial,include,"Split a dedicated JDF reminder with own cadence (today rides package-doc job via IsJointDeclaration). OLD cadence not in source."
05-jobs-scheduler.md,"Multi-stage cadence collapsed to single daily fire",Partial,include,"Build staged-reminder framework/scaffolding (configurable T-minus windows); Adrian to confirm exact cadence soon. OLD cadence not in source."
05-jobs-scheduler.md,"Internal-staff queue digest recipient model + SMS leg differ",Partial,exclude,"Keep NEW role-based model (all Staff Supervisor + Clinic Staff; IT Admin excluded). OLD proc-driven targeting is generic + unrecoverable from source. SMS leg deferred via G-04-01."
05-jobs-scheduler.md,"All SMS legs dropped across every reminder",Intent deviation,defer,"Tied to SMS work (G-04-01): planned ~3 months (by 2026-08-29), not this/next week. Add SMS dispatch to reminder jobs once provider exists."
06-auth-rbac.md,"Role x appointment-type matrix hardcoded AME rule (auth angle)",Partial,include,"DUPLICATE of G-01-04 (already include): build admin-configurable role x type table + UI."
06-auth-rbac.md,"No isAccessor search-only home variant",Partial,exclude,"Keep standard external home; server-side access scoping already limits accessor visibility. Variant is cosmetic."
06-auth-rbac.md,"Forgot-password gate messages collapsed to one generic message",Intent deviation,defer,"SECURITY: reverting to OLD 3 messages re-introduces account-enumeration leak (PHI-adjacent on a medical portal). Defer till Adrian confirms. Middle option: keep generic public msg + log specific reason server-side."
06-auth-rbac.md,"Login active-only/verified-only gates rely on ABP defaults",Partial,include,"Add integration test pinning inactive+unverified login rejection (behavior equivalent today but implicit/unguarded)."
06-auth-rbac.md,"Adjuster and ClaimExaminer exist as two distinct external role values",Intent deviation,include,"NEW-side cleanup: collapse/remove stray Adjuster=5 enum value so only ClaimExaminer=2 exists; avoids permission-less dead-end role."
06-auth-rbac.md,"Single-session enforcement (one-token-per-user) not reproduced",Missing,include,"Enforce single active session/token in OpenIddict/ABP flow. NOTE: reverses prior accepted-deviation (multi-session). Medium effort."
06-auth-rbac.md,"No explicit login rate-limit/lockout parity confirmation",Partial,exclude,"Rely on ABP default lockout/throttle (already stricter than OLD, which had none). No action."
06-auth-rbac.md,"Registration demographics + fabricated Gender/DOB placeholder stubs",Missing,include,"FIX: stop fabricating Gender=Male/DOB defaults at registration (backend stub, not just UI - HIPAA fabricated-data). PREFILL RULE: appointment form prefills only fields collected at registration for a NEW user; prefill richer data only for RETURNING user from prior patient profile/appointment. Cross-ref G-01-07."
06-auth-rbac.md,"Anonymous root redirect parity (informational)",Missing,exclude,"VERIFIED implemented: post-login-redirect.guard.ts -> anonymous hitting / calls navigateToLogin (AuthServer); external->home, internal->dashboard. No action."
07-admin-master-data.md,"No admin UI for SystemParameters/CustomFields/NotificationTemplates/Documents/PackageDetails/FieldConfigs",Missing,include,"LARGEST UI GAP. Build ~6 admin CRUD/edit screens (backends+proxies exist; mostly frontend). Needs sequencing/planning."
07-admin-master-data.md,"AppointmentType.ReEvalId dropped",Partial,include,"Add self-ref column + seed base->reval pairings so reval flow resolves variant from data (not name match). Relates G-01-07, G-10-11."
07-admin-master-data.md,"Slot generation conflict: OLD all-or-nothing vs NEW skip+insert rest",Intent deviation,exclude,"Keep NEW partial-insert + inserted/skipped report (better UX); do not revert to OLD all-or-nothing."
07-admin-master-data.md,"Slot conflict detection: generic overlap vs OLD 4 discrete checks",Intent deviation,include,"Add discrete checks, esp. cross-location overlap warning (same doctor double-booked across locations - relevant under one-doctor-per-tenant)."
07-admin-master-data.md,"Custom-field MultipleValues (picklist/radio options) not surfaced in admin",Partial,include,"Surface MultipleValues editing in custom-fields admin UI (part of G-07-01) so picklist/radio types usable. Latent in OLD; supports all-7-types goal."
07-admin-master-data.md,"Custom-field AvailableTypeId not modeled",Partial,exclude,"VERIFIED dead in OLD: enum has single value Appointment=11, no domain/controller reads it, Angular hardcodes the one value. Vestigial. FieldLength (meaningful) already preserved."
07-admin-master-data.md,"No AppointmentDocumentType master lookup (free-text)",Missing,include,"DUPLICATE of G-03-01 (already include) + G-10-09. Build doc-type master + CRUD + picker."
07-admin-master-data.md,"Country/City/ApplicationTimeZone/GlobalSetting lookups absent",Intent deviation,include,"Add structured lookups: Country + City pickers (City ties to G-10-04), TZ table. NOTE: TZ + GlobalSetting partly covered by ABP settings - include = add structured pickers, not rip out ABP. Low value for US single-clinic; confirm scope."
07-admin-master-data.md,"AccessType (View/Edit) field-permission model absent",Missing,include,"Model + enforce per-accessor View vs Edit access on appointment share. Relates G-01-06, G-10-08."
07-admin-master-data.md,"System-parameter edit validation (NEW Range(1,max), OLD none)",Intent deviation,include,"Keep NEW validation (blocks 0/negative/out-of-range config). Hardening; already built."
07-admin-master-data.md,"Notification-template Create/Delete removed (NEW edit-only)",Partial,include,"Add Create/Delete to notification-template admin (part of G-07-01 UI); today edit + IsActive-disable only."
07-admin-master-data.md,"Custom-field per-type cap (OLD buggy ==10 global vs NEW per-type)",Intent deviation,exclude,"Keep NEW per-type limit; OLD global ==10 cap was an off-by-one bug. Do not revert."
07-admin-master-data.md,"StatusId enum collapsed to IsActive; AppointmentType lost active toggle",Intent deviation,include,"Restore active/inactive toggle on AppointmentType (and verify Location/WcabOffice). Keep ABP soft-delete; confirm OLD StatusId had no states beyond active/inactive."
08-reporting-export.md,"Appointment Request Report (whole report) absent",Missing,include,"LARGE. Build query + filtered/paged/sortable report grid (filters: date range/location/type/status/patient). HIPAA: mask SSN/DOB on report. Anchor for export G-08-02/03/04."
08-reporting-export.md,"Export to Excel (.xlsx) absent",Missing,exclude,"Skip xlsx export for now (depends on G-08-01 report). Revisit if billing/offline-analysis need arises; would require SSN/DOB masking."
08-reporting-export.md,"Export to PDF (report table) absent",Missing,include,"Render report grid to PDF via QuestPDF (already used for packets). Depends on G-08-01. HIPAA: mask SSN/DOB."
08-reporting-export.md,"Per-appointment Patient-Demographics print-to-PDF absent",Missing,include,"Per-appointment intake-sheet PDF (patient/employer/injury/insurance/attorneys/accessors/custom fields) via QuestPDF. HIPAA masking applies. Overlaps packet pipeline."
09-dashboard-notes-query.md,"Dashboard external-role headcount counters dropped",Missing,include,"Add per-role user-count cards (Patient/ClaimExaminer/AA/DA) + click-through to filtered user list."
09-dashboard-notes-query.md,"Submit-Query / Contact-Us (Help) feature absent",Missing,include,"Build Help button + modal + UserQuery entity + submit endpoint. Pairs with email leg G-04-02 (included) + routing G-09-03 + entity G-10-02."
09-dashboard-notes-query.md,"UserQuery email routing (responsible-user vs IT-Admin) absent",Missing,include,"Route query to appointment PrimaryResponsibleUser when conf# supplied, else fan-out to all IT-Admins. Completes Submit-Query trio (G-04-02, G-09-02)."
09-dashboard-notes-query.md,"Internal per-appointment Notes (threaded, edit-chain)",Partial,defer,"DEFER until after production launch. Was latent/commented-out in OLD (never live). Large: Notes entity (threading + edit chain) + CRUD + internal-only UI. Pairs G-10-01."
09-dashboard-notes-query.md,"Approved/Rejected counters re-scoped to this week vs OLD all-time",Partial,include,"Revert counters to all-time totals per OLD. NOTE: OLD proc not in source (all-time inferred); confirm intended window."
09-dashboard-notes-query.md,"Counter click-through coverage reduced (3 live, 8 stub)",Partial,include,"Wire click-through on all real counters; populate 8 stubbed cards as their states ship (check-in/out, billed, no-show). Phased with those features."
09-dashboard-notes-query.md,"Approved card status=Approved vs OLD upcoming intent",Intent deviation,exclude,"Keep NEW clean status=Approved semantics; do not revert to OLD mixed approved/upcoming."
10-data-model.md,"Notes table absent",Missing data,defer,"DEFER after production (matches G-09-04). Notes entity/table = storage side of threaded-notes feature."
10-data-model.md,"UserQueries table absent",Missing data,include,"DUPLICATE of G-09-02/03 (included). UserQuery entity/table (message 500-char + audit) = storage side of Submit-Query."
10-data-model.md,"Countries table absent",Missing data,defer,"DEFER after production. US-only app, country effectively USA. NOTE: narrows G-07-08 (included) - Country table specifically deferred; City picker may still proceed."
10-data-model.md,"City table absent (free-text in NEW)",Intent deviation,include,"Add City lookup/picker (part of G-07-08, included). Country half deferred (G-10-03); City proceeds."
10-data-model.md,"AppointmentChangeLogs.IsMailSent flag has no NEW home",Partial,include,"Add IsMailSent (or equivalent) marker to change-tracking so change-email (G-02-03/G-04-03) does not resend. Dedup mechanism."
10-data-model.md,"Users profile columns / non-doctor signature image",Partial,exclude,"Doctor signature already covered (UserSignatureAppService). No confirmed OLD doc embedding non-doctor signatures. Other profile cols map to NEW (firm->attorney masters, IsAccessor->accessor rows)."
10-data-model.md,"AppointmentAccessor name/email columns dropped",Partial,include,"Allow accessor name/email (pending-invite) on the row, not only IdentityUser link. Storage side of accessor sharing; ties G-01-06, G-07-09 + invite flow."
10-data-model.md,"AppointmentDocumentTypes lookup absent",Missing data,include,"DUPLICATE of G-03-01 / G-07-07 (included). Storage side: add document-type table."
10-data-model.md,"AppointmentDocument.DocumentPackageId FK dropped",Partial,include,"Re-add package-item linkage so each uploaded doc maps to the specific required package item it satisfies (vs looser queued-row). Verify value vs NEW model."
10-data-model.md,"AppointmentType.ReEvalId dropped",Missing data,include,"DUPLICATE of G-07-02 (included). Storage side: add self-ref column + seed base->reval pairings."
10-data-model.md,"InsuranceNumber/ClaimExaminerNumber re-meant as Suite",Intent deviation,include,"Restore distinct InsuranceNumber + ClaimExaminerNumber fields. FLAG: preserve Suite/address-line separately if in use; confirm OLD actually captured these numbers (reverses a prior resolved rename)."
10-data-model.md,"AppointmentWorkerCompensations absent (OLD redundant)",Missing data,exclude,"Likely dead/orphaned in OLD; duplicates injury/claim data already in AppointmentInjuryDetail. No unique data."
